REGION,CROP_NAME,YEAR,VARIABLE,VALUE,UoM,SOURCE,CALCULATED_R,CALCULATED_C,CALCULATED_V,ZERO_AS_NULL,COHERENCE_APY,COHERENCE_CROP
BG33,Total wheat,2020,Production,681749.0,t,NSI,,,,,Yes,Yes
BG33,Soft wheat,2020,Production,680990.0,t,Eurostat,,,,,Yes,Yes
BG33,Durum wheat,2020,Production,760.0,t,Eurostat,,,,,Yes,Yes
BG33,Total wheat,2020,Yield,2.562,t/ha,NSI,,,,,Yes,Yes
BG33,Soft wheat,2020,Yield,2.562,t/ha,Eurostat,,,Yes,,Yes,Yes
BG33,Durum wheat,2020,Yield,1.853,t/ha,Eurostat,,,Yes,,Yes,Yes
BG34,Total wheat,2020,Area,254343.0,ha,NSI,,,,,Yes,Yes
BG34,Soft wheat,2020,Area,249300.0,ha,Eurostat,,,,,Yes,Yes
BG34,Durum wheat,2020,Area,5040.0,ha,Eurostat,,,,,Yes,Yes
BG34,Total wheat,2020,Production,820971.0,t,NSI,,,,,Yes,Yes
BG34,Soft wheat,2020,Production,802710.0,t,Eurostat,,,,,Yes,Yes
BG34,Durum wheat,2020,Production,18260.0,t,Eurostat,,,,,Yes,Yes
BG34,Total wheat,2020,Yield,3.228,t/ha,NSI,,,,,Yes,Yes
BG34,Soft wheat,2020,Yield,3.219,t/ha,Eurostat,,,Yes,,Yes,Yes
BG34,Durum wheat,2020,Yield,3.623,t/ha,Eurostat,,,Yes,,Yes,Yes
BG41,Total wheat,2020,Area,52876.0,ha,NSI,,,,,Yes,Yes
BG41,Soft wheat,2020,Area,52830.0,ha,Eurostat,,,,,Yes,Yes
BG41,Durum wheat,2020,Area,50.0,ha,Eurostat,,,,,Yes,Yes
BG41,Total wheat,2020,Production,180521.0,t,NSI,,,,,Yes,Yes
BG41,Soft wheat,2020,Production,180380.0,t,Eurostat,,,,,Yes,Yes
BG41,Durum wheat,2020,Production,140.0,t,Eurostat,,,,,Yes,Yes
